account-balance,duration-of-credit-month,payment-status-of-previous-credit,purpose,credit-amount,value-savings-stocks,length-of-current-employment,most-valuable-available-asset,age-years,type-of-apartment,no-of-credits-at-this-bank,no-of-dependents
Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,1,33,2,More than 1,1
Some Balance,24,Paid Up,New car,7814,None,1-4 yrs,3,38,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,1740,None,4-7 yrs,1,30,1,More than 1,1
Some Balance,24,No Problems (in this bank),New car,6842,£100-£1000,< 1yr,2,46,2,More than 1,2
Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,3,33,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,3,24,2,1,1
No Account,24,No Problems (in this bank),Home Related,3878,< £100,< 1yr,3,37,2,1,1
Some Balance,36,Paid Up,Home Related,1819,None,< 1yr,4,37,3,1,1
Some Balance,36,No Problems (in this bank),Used car,7127,None,< 1yr,2,23,1,More than 1,1
Some Balance,36,Paid Up,Used car,3349,None,< 1yr,3,28,2,1,1
Some Balance,36,Paid Up,Used car,10974,None,< 1yr,3,26,2,More than 1,1
Some Balance,6,Paid Up,Home Related,518,None,< 1yr,1,29,2,1,1
Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,1,21,1,1,1
Some Balance,18,Paid Up,Home Related,1505,None,< 1yr,4,32,3,1,1
Some Balance,4,No Problems (in this bank),Home Related,1503,None,1-4 yrs,1,42,2,More than 1,2
Some Balance,12,Paid Up,Home Related,1881,None,< 1yr,3,44,1,1,1
No Account,18,No Problems (in this bank),Home Related,1880,None,1-4 yrs,2,32,2,More than 1,1
No Account,18,Paid Up,Home Related,2389,None,< 1yr,3,27,2,1,1
Some Balance,4,No Problems (in this bank),Home Related,1455,None,1-4 yrs,1,42,2,More than 1,2
No Account,18,Some Problems,Used car,3244,None,< 1yr,3,33,2,More than 1,1
No Account,48,Paid Up,Home Related,3979,£100-£1000,1-4 yrs,3,41,2,More than 1,2
No Account,12,Paid Up,Used car,1922,None,< 1yr,2,37,2,1,1
No Account,18,No Problems (in this bank),Used car,1295,None,< 1yr,2,27,2,More than 1,1
No Account,30,Paid Up,Home Related,1715,£100-£1000,< 1yr,3,26,2,1,1
Some Balance,10,No Problems (in this bank),Home Related,1347,£100-£1000,1-4 yrs,2,27,2,More than 1,1
No Account,12,Paid Up,Home Related,1007,£100-£1000,< 1yr,1,22,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,2096,None,1-4 yrs,1,49,2,1,2
Some Balance,12,Paid Up,Home Related,1101,None,< 1yr,1,27,2,More than 1,1
Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,2,40,2,1,1
No Account,48,Some Problems,Home Related,8358,£100-£1000,< 1yr,3,30,2,More than 1,1
No Account,60,Paid Up,Home Related,7408,< £100,< 1yr,2,24,2,1,1
No Account,36,No Problems (in this bank),Home Related,9857,< £100,1-4 yrs,2,31,2,More than 1,2
Some Balance,12,No Problems (in this bank),Used car,1935,None,4-7 yrs,1,43,2,More than 1,1
Some Balance,48,Paid Up,Home Related,10222,£100-£1000,1-4 yrs,3,37,2,1,1
Some Balance,36,Paid Up,Home Related,9055,£100-£1000,< 1yr,4,35,3,1,2
No Account,30,Some Problems,Used car,3496,£100-£1000,< 1yr,3,34,2,1,2
No Account,36,Paid Up,Used car,3446,None,4-7 yrs,3,42,2,1,2
No Account,12,Paid Up,Home Related,684,None,< 1yr,3,40,1,1,2
No Account,24,Paid Up,Used car,2359,< £100,< 1yr,2,33,2,1,1
Some Balance,24,Paid Up,Home Related,3621,< £100,4-7 yrs,3,31,2,More than 1,1
No Account,12,Paid Up,Home Related,741,< £100,< 1yr,2,22,2,1,1
No Account,12,Paid Up,Used car,7865,None,4-7 yrs,4,53,3,1,1
No Account,18,No Problems (in this bank),Home Related,5302,None,4-7 yrs,4,36,3,More than 1,1
No Account,18,Paid Up,Home Related,3509,None,1-4 yrs,1,25,2,1,1
No Account,12,Paid Up,Used car,1657,None,< 1yr,1,27,2,1,1
No Account,36,No Problems (in this bank),Used car,6229,None,< 1yr,4,23,1,More than 1,1
No Account,30,Some Problems,Used car,4583,None,< 1yr,1,32,2,More than 1,1
No Account,36,No Problems (in this bank),Used car,5371,None,< 1yr,2,28,2,More than 1,1
No Account,36,Paid Up,Used car,2712,None,4-7 yrs,2,41,2,1,2
No Account,6,No Problems (in this bank),Used car,1050,None,< 1yr,2,35,2,More than 1,1
No Account,6,No Problems (in this bank),Home Related,609,None,1-4 yrs,2,37,2,More than 1,1
No Account,24,Paid Up,Used car,3069,< £100,4-7 yrs,4,30,3,1,1
No Account,12,Paid Up,Home Related,836,< £100,< 1yr,2,23,2,1,1
No Account,15,Paid Up,Used car,1845,None,< 1yr,2,46,1,1,1
No Account,24,Paid Up,New car,6579,None,< 1yr,4,29,3,1,1
No Account,30,Paid Up,Used car,3108,None,< 1yr,2,31,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,6314,None,< 1yr,4,27,2,More than 1,1
No Account,12,Paid Up,Used car,3590,None,< 1yr,2,29,2,1,2
No Account,6,No Problems (in this bank),Used car,1872,None,< 1yr,4,36,3,More than 1,1
Some Balance,6,Paid Up,Home Related,1238,£100-£1000,< 1yr,2,36,2,1,2
No Account,12,Paid Up,Used car,2578,None,< 1yr,4,55,3,1,1
No Account,15,No Problems (in this bank),Used car,1433,None,< 1yr,2,25,1,More than 1,1
No Account,42,Paid Up,Used car,7882,None,1-4 yrs,2,45,3,1,2
No Account,24,Paid Up,Used car,4169,None,< 1yr,2,28,2,1,1
No Account,36,Paid Up,Used car,3959,None,< 1yr,2,30,2,1,1
No Account,36,Paid Up,Home Related,3249,None,1-4 yrs,4,39,3,1,2
No Account,24,Paid Up,Used car,3149,None,< 1yr,4,22,3,1,1
No Account,13,No Problems (in this bank),Home Related,1797,None,< 1yr,2,28,2,More than 1,1
No Account,20,No Problems (in this bank),Used car,4272,None,4-7 yrs,2,24,2,More than 1,1
No Account,24,No Problems (in this bank),New car,2957,None,4-7 yrs,2,63,2,More than 1,1
Some Balance,42,Some Problems,Home Related,6289,None,< 1yr,2,33,2,More than 1,1
No Account,36,Paid Up,Home Related,15857,None,< 1yr,3,43,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,2223,< £100,4-7 yrs,2,52,2,More than 1,1
No Account,30,No Problems (in this bank),Home Related,2503,< £100,4-7 yrs,2,41,2,More than 1,1
No Account,6,Paid Up,Home Related,368,£100-£1000,4-7 yrs,2,38,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,2424,£100-£1000,4-7 yrs,2,53,2,More than 1,1
No Account,18,No Problems (in this bank),Home Related,2427,£100-£1000,4-7 yrs,2,42,2,More than 1,1
No Account,24,No Problems (in this bank),Home Related,1216,< £100,< 1yr,4,38,2,More than 1,2
No Account,6,Paid Up,Home Related,753,None,< 1yr,1,64,2,1,1
No Account,6,Paid Up,Home Related,590,None,< 1yr,1,26,2,1,1
No Account,8,No Problems (in this bank),Home Related,713,None,4-7 yrs,1,47,2,More than 1,1
No Account,12,Paid Up,Home Related,1092,None,< 1yr,1,49,2,More than 1,1
No Account,7,Paid Up,Home Related,2329,None,< 1yr,1,45,2,1,1
No Account,13,No Problems (in this bank),Home Related,882,None,< 1yr,1,23,2,More than 1,1
No Account,7,Paid Up,Home Related,2415,None,< 1yr,1,34,2,1,1
No Account,13,Paid Up,Home Related,2101,None,< 1yr,2,23,2,1,1
No Account,18,Paid Up,Home Related,1113,None,< 1yr,1,26,2,1,2
Some Balance,6,No Problems (in this bank),Home Related,1323,< £100,4-7 yrs,3,28,2,More than 1,2
No Account,15,No Problems (in this bank),Home Related,2728,£100-£1000,1-4 yrs,1,35,2,More than 1,1
No Account,10,Some Problems,Home Related,1048,None,< 1yr,1,23,2,1,1
No Account,12,Paid Up,Home Related,1155,None,4-7 yrs,1,40,2,More than 1,1
No Account,20,No Problems (in this bank),New car,7057,£100-£1000,1-4 yrs,2,36,1,More than 1,2
No Account,15,No Problems (in this bank),Home Related,1537,£100-£1000,4-7 yrs,1,50,2,More than 1,1
No Account,12,Paid Up,Home Related,2214,None,< 1yr,2,24,2,1,1
Some Balance,24,No Problems (in this bank),Used car,1585,None,1-4 yrs,2,40,2,More than 1,1
No Account,10,Paid Up,Used car,1521,None,< 1yr,3,31,2,1,1
No Account,36,Some Problems,Home Related,3990,£100-£1000,< 1yr,4,29,2,1,1
Some Balance,18,Paid Up,Used car,3049,None,< 1yr,2,45,2,1,1
No Account,24,Paid Up,Home Related,1282,< £100,< 1yr,3,32,2,1,1
Some Balance,60,Paid Up,Home Related,10144,< £100,1-4 yrs,1,21,2,1,1
No Account,12,Paid Up,Home Related,1168,None,< 1yr,1,27,2,1,1
Some Balance,12,Paid Up,Used car,1768,None,< 1yr,1,24,1,1,1
Some Balance,60,No Problems (in this bank),Home Related,15653,None,1-4 yrs,3,21,2,More than 1,1
No Account,36,Paid Up,New car,8335,£100-£1000,4-7 yrs,4,47,3,1,1
No Account,36,No Problems (in this bank),New car,5800,None,< 1yr,3,34,2,More than 1,1
No Account,18,No Problems (in this bank),Home Related,8471,£100-£1000,< 1yr,3,23,1,More than 1,1
No Account,30,Paid Up,Used car,3622,£100-£1000,4-7 yrs,2,57,1,More than 1,1
No Account,6,No Problems (in this bank),Home Related,1169,£100-£1000,4-7 yrs,1,67,2,More than 1,1
Some Balance,15,Paid Up,Home Related,1262,£100-£1000,1-4 yrs,2,36,2,More than 1,1
No Account,42,No Problems (in this bank),Home Related,3394,None,< 1yr,3,65,2,More than 1,1
Some Balance,36,No Problems (in this bank),Home Related,6304,£100-£1000,4-7 yrs,1,36,2,More than 1,1
Some Balance,6,Paid Up,Home Related,3518,None,< 1yr,2,26,1,1,1
No Account,72,Paid Up,Home Related,5595,< £100,< 1yr,3,24,2,1,1
Some Balance,21,No Problems (in this bank),New car,2993,None,< 1yr,1,28,2,More than 1,1
Some Balance,36,No Problems (in this bank),New car,8947,£100-£1000,1-4 yrs,3,31,2,1,2
No Account,18,Paid Up,New car,2779,None,< 1yr,3,21,1,1,1
No Account,42,Some Problems,New car,9283,None,< 1yr,4,55,3,1,1
Some Balance,15,No Problems (in this bank),New car,3368,£100-£1000,4-7 yrs,4,23,1,More than 1,1
No Account,36,Paid Up,New car,5493,None,4-7 yrs,4,42,3,1,2
No Account,9,Paid Up,Home Related,1082,None,4-7 yrs,3,37,2,More than 1,1
No Account,20,Some Problems,New car,6148,< £100,4-7 yrs,3,31,2,More than 1,1
Some Balance,12,Paid Up,Home Related,3059,£100-£1000,1-4 yrs,1,61,2,1,1
No Account,24,Paid Up,Used car,2996,£100-£1000,< 1yr,3,20,2,1,1
Some Balance,30,No Problems (in this bank),New car,7596,£100-£1000,4-7 yrs,3,63,2,More than 1,1
Some Balance,6,Paid Up,Used car,1766,None,< 1yr,2,21,1,1,1
No Account,24,Paid Up,New car,2760,£100-£1000,4-7 yrs,4,36,3,1,1
No Account,9,Paid Up,Home Related,654,None,< 1yr,3,28,2,1,1
No Account,9,No Problems (in this bank),Home Related,1136,£100-£1000,4-7 yrs,4,32,3,More than 1,2
No Account,24,No Problems (in this bank),Home Related,1199,None,4-7 yrs,3,60,2,More than 1,1
No Account,12,Some Problems,Home Related,1082,None,< 1yr,3,48,2,More than 1,1
No Account,18,Paid Up,Home Related,2600,None,< 1yr,4,65,3,More than 1,1
Some Balance,21,Some Problems,Home Related,5003,£100-£1000,< 1yr,2,29,2,More than 1,1
Some Balance,24,No Problems (in this bank),Home Related,2538,None,4-7 yrs,3,47,2,More than 1,2
Some Balance,9,Paid Up,Home Related,1478,None,1-4 yrs,3,22,2,1,1
No Account,39,No Problems (in this bank),Home Related,4933,None,1-4 yrs,1,25,2,More than 1,1
Some Balance,18,No Problems (in this bank),Home Related,1530,None,< 1yr,2,32,2,More than 1,1
No Account,15,Paid Up,Home Related,1275,£100-£1000,< 1yr,3,24,1,1,1
No Account,24,Paid Up,Home Related,1823,None,< 1yr,3,30,2,1,2
No Account,9,Paid Up,Home Related,1422,None,< 1yr,4,27,3,1,1
No Account,36,Paid Up,Home Related,9271,None,1-4 yrs,3,24,2,1,1
No Account,6,No Problems (in this bank),Used car,3384,None,< 1yr,1,44,1,1,1
No Account,18,No Problems (in this bank),Home Related,1245,None,< 1yr,3,33,2,1,1
Some Balance,15,Paid Up,Home Related,4623,< £100,< 1yr,2,40,2,1,1
No Account,30,No Problems (in this bank),Used car,8386,None,1-4 yrs,2,49,2,1,1
No Account,24,No Problems (in this bank),Home Related,1024,None,< 1yr,1,48,2,1,1
No Account,12,Some Problems,Home Related,2149,None,< 1yr,4,29,3,1,1
Some Balance,24,Paid Up,Home Related,2397,£100-£1000,4-7 yrs,3,35,2,More than 1,1
No Account,6,Some Problems,Home Related,931,< £100,< 1yr,2,32,2,1,1
No Account,24,Some Problems,Used car,6872,None,< 1yr,2,55,2,1,1
No Account,12,Paid Up,Home Related,795,None,< 1yr,2,53,2,1,1
No Account,36,Some Problems,Home Related,1953,None,4-7 yrs,4,61,3,1,1
Some Balance,21,No Problems (in this bank),Home Related,2319,None,< 1yr,3,33,1,1,1
No Account,24,Paid Up,Home Related,915,£100-£1000,4-7 yrs,3,29,2,1,1
No Account,24,Paid Up,Home Related,1381,£100-£1000,< 1yr,2,35,2,1,1
No Account,24,Paid Up,Home Related,1285,£100-£1000,1-4 yrs,4,32,1,1,1
No Account,18,Paid Up,Home Related,1042,£100-£1000,< 1yr,2,33,2,1,1
No Account,24,Paid Up,Home Related,1207,None,< 1yr,2,24,1,1,1
No Account,18,Some Problems,Home Related,2278,< £100,< 1yr,3,28,2,More than 1,1
No Account,24,Paid Up,Used car,3345,None,4-7 yrs,2,39,1,1,1
No Account,6,Some Problems,Home Related,1198,None,4-7 yrs,4,35,3,1,1
Some Balance,18,Paid Up,Home Related,1943,None,< 1yr,1,23,2,1,1
No Account,18,Paid Up,Home Related,3190,None,< 1yr,1,24,2,1,1
Some Balance,18,No Problems (in this bank),Used car,1808,None,1-4 yrs,1,22,2,1,1
No Account,8,Paid Up,Used car,1237,None,< 1yr,1,24,2,1,1
No Account,48,Paid Up,Home Related,10961,£100-£1000,1-4 yrs,4,27,2,More than 1,1
No Account,24,Paid Up,Home Related,1938,None,< 1yr,2,32,2,1,1
No Account,21,Paid Up,Home Related,1835,None,< 1yr,1,25,2,More than 1,1
No Account,24,No Problems (in this bank),Home Related,1659,None,< 1yr,3,29,1,1,1
No Account,6,No Problems (in this bank),Home Related,1209,None,< 1yr,2,47,2,1,1
No Account,48,Some Problems,Home Related,3844,< £100,1-4 yrs,4,34,3,1,2
No Account,12,No Problems (in this bank),Home Related,4843,None,4-7 yrs,2,43,1,More than 1,1
Some Balance,36,No Problems (in this bank),Home Related,4463,None,< 1yr,3,26,2,More than 1,1
No Account,24,Paid Up,New car,11560,None,< 1yr,3,23,1,More than 1,1
Some Balance,18,Some Problems,Home Related,4165,None,< 1yr,3,36,2,More than 1,2
No Account,24,Paid Up,Used car,4057,None,1-4 yrs,3,43,2,1,1
Some Balance,18,Some Problems,Home Related,6458,None,4-7 yrs,4,39,2,More than 1,2
No Account,36,Paid Up,Home Related,1977,£100-£1000,4-7 yrs,4,40,2,1,1
No Account,24,Paid Up,Home Related,11328,None,< 1yr,3,29,2,More than 1,1
No Account,60,Some Problems,Home Related,14782,< £100,4-7 yrs,4,60,3,More than 1,1
No Account,12,Some Problems,Home Related,626,None,< 1yr,1,24,2,1,1
No Account,36,Paid Up,Home Related,2302,None,< 1yr,3,31,1,1,1
No Account,12,Paid Up,Home Related,727,< £100,< 1yr,4,33,2,1,1
Some Balance,48,Paid Up,Home Related,3914,£100-£1000,< 1yr,1,38,2,1,1
No Account,12,Paid Up,Home Related,1534,None,< 1yr,1,23,1,1,1
Some Balance,15,No Problems (in this bank),Home Related,1271,£100-£1000,< 1yr,4,39,3,More than 1,1
No Account,12,Paid Up,Home Related,1295,None,< 1yr,3,25,1,1,1
No Account,12,Paid Up,Used car,951,< £100,< 1yr,3,27,1,More than 1,1
No Account,48,Paid Up,Home Related,3051,None,< 1yr,3,54,2,1,1
Some Balance,18,Paid Up,Home Related,433,None,< 1yr,1,22,1,1,1
No Account,30,No Problems (in this bank),Home Related,5234,None,< 1yr,3,28,2,More than 1,1
No Account,9,Paid Up,Home Related,1366,None,< 1yr,2,22,1,1,1
No Account,18,Paid Up,Used car,2473,None,< 1yr,3,25,2,1,1
No Account,48,Paid Up,Home Related,7763,None,4-7 yrs,4,42,3,1,1
No Account,15,Some Problems,Home Related,1264,< £100,< 1yr,2,25,1,1,1
No Account,48,Paid Up,Home Related,6560,< £100,1-4 yrs,2,24,2,1,1
No Account,24,Paid Up,Home Related,3123,None,< 1yr,2,27,2,1,1
No Account,36,No Problems (in this bank),New car,9629,None,1-4 yrs,3,24,2,More than 1,1
No Account,18,Paid Up,Used car,1131,None,< 1yr,3,33,2,1,1
No Account,18,Paid Up,New car,12976,None,< 1yr,4,38,3,1,1
No Account,27,Paid Up,Home Related,3915,None,< 1yr,3,36,2,1,2
No Account,12,Paid Up,Home Related,2579,None,< 1yr,1,33,2,1,2
No Account,18,Paid Up,Used car,4153,None,< 1yr,3,42,2,1,1
No Account,18,Some Problems,Used car,3114,None,< 1yr,2,26,1,1,1
No Account,18,No Problems (in this bank),Used car,2124,None,< 1yr,1,24,1,More than 1,1
No Account,30,Paid Up,Used car,2406,None,1-4 yrs,1,23,1,1,1
No Account,24,No Problems (in this bank),Home Related,1333,None,< 1yr,1,43,3,More than 1,2
No Account,12,No Problems (in this bank),Home Related,691,None,4-7 yrs,2,35,2,More than 1,1
No Account,42,No Problems (in this bank),Home Related,4370,None,1-4 yrs,2,26,2,More than 1,2
No Account,24,Some Problems,Used car,4110,None,4-7 yrs,4,23,1,More than 1,2
No Account,18,Paid Up,Used car,2462,None,< 1yr,3,22,2,1,1
No Account,12,Paid Up,Used car,1282,None,< 1yr,3,20,1,1,1
No Account,12,Some Problems,Used car,2969,None,< 1yr,2,25,1,More than 1,1
No Account,48,Some Problems,New car,4605,None,4-7 yrs,4,24,3,More than 1,2
No Account,48,No Problems (in this bank),New car,6331,None,4-7 yrs,4,46,3,More than 1,1
No Account,27,Some Problems,Home Related,5293,None,< 1yr,2,50,2,More than 1,1
No Account,21,No Problems (in this bank),Home Related,3414,None,< 1yr,2,26,2,More than 1,1
No Account,48,Paid Up,New car,10297,None,1-4 yrs,4,39,3,More than 1,2
No Account,48,Some Problems,Home Related,14421,None,< 1yr,3,25,2,1,1
No Account,18,No Problems (in this bank),Home Related,1056,None,4-7 yrs,1,30,2,More than 1,1
No Account,12,Paid Up,Home Related,1372,None,1-4 yrs,3,36,2,1,1
No Account,18,No Problems (in this bank),Home Related,884,None,4-7 yrs,3,36,2,1,2
No Account,36,No Problems (in this bank),Home Related,8086,< £100,4-7 yrs,3,42,2,More than 1,1
Some Balance,48,No Problems (in this bank),Home Related,10127,£100-£1000,< 1yr,4,44,3,1,1
No Account,36,Paid Up,Home Related,12389,£100-£1000,< 1yr,4,37,3,1,1
No Account,12,Paid Up,Home Related,709,None,4-7 yrs,1,57,2,1,1
No Account,15,Some Problems,Home Related,6850,< £100,< 1yr,2,34,2,1,2
Some Balance,10,Paid Up,Used car,2210,None,< 1yr,1,25,1,1,1
Some Balance,30,Some Problems,New car,7485,£100-£1000,< 1yr,1,53,2,1,1
No Account,45,No Problems (in this bank),Home Related,4746,None,< 1yr,2,24,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,939,£100-£1000,1-4 yrs,1,28,2,More than 1,1
Some Balance,48,No Problems (in this bank),New car,11590,< £100,< 1yr,3,24,1,More than 1,1
Some Balance,12,Some Problems,Home Related,609,None,< 1yr,1,26,2,1,1
No Account,18,No Problems (in this bank),Home Related,1190,None,< 1yr,4,55,3,More than 1,2
No Account,21,Paid Up,Home Related,2767,< £100,4-7 yrs,3,61,1,More than 1,1
No Account,30,Paid Up,Used car,3441,< £100,< 1yr,3,21,1,1,1
Some Balance,18,Paid Up,Home Related,6761,£100-£1000,< 1yr,3,68,1,More than 1,1
No Account,54,Some Problems,Home Related,15945,None,< 1yr,4,58,1,1,1
No Account,24,Paid Up,Used car,3234,None,< 1yr,1,23,1,1,1
No Account,15,Paid Up,Home Related,802,None,4-7 yrs,3,37,2,1,2
No Account,21,Some Problems,Home Related,1647,£100-£1000,< 1yr,2,40,2,More than 1,2
No Account,27,Some Problems,Home Related,8318,None,4-7 yrs,4,42,3,More than 1,1
No Account,6,Paid Up,Home Related,448,None,< 1yr,2,23,2,1,1
No Account,30,Paid Up,Home Related,11998,None,< 1yr,4,34,2,1,1
No Account,12,Paid Up,Used car,2762,£100-£1000,4-7 yrs,2,25,2,1,1
No Account,12,Paid Up,New car,3386,None,4-7 yrs,4,35,3,1,1
No Account,24,Paid Up,Home Related,2039,None,< 1yr,2,22,2,1,1
No Account,18,Paid Up,Home Related,1882,None,< 1yr,3,25,1,More than 1,1
No Account,48,Paid Up,Home Related,6999,None,1-4 yrs,1,34,2,More than 1,1
No Account,18,Paid Up,Home Related,976,None,< 1yr,3,23,2,1,1
No Account,24,Paid Up,Home Related,2718,None,< 1yr,2,20,1,1,1
No Account,18,Paid Up,Home Related,750,None,< 1yr,1,27,2,1,1
No Account,18,No Problems (in this bank),Home Related,3966,None,4-7 yrs,1,33,1,More than 1,1
No Account,12,Some Problems,Home Related,6199,None,< 1yr,2,28,1,More than 1,1
No Account,24,Paid Up,Home Related,1987,None,< 1yr,1,21,1,1,2
No Account,24,Paid Up,Home Related,2303,None,4-7 yrs,1,45,2,1,1
No Account,30,Paid Up,Used car,6350,£100-£1000,4-7 yrs,2,31,2,1,1
